" Cloud Service Provider"," Cloud Service Offering"," Type"," Leveraged A T O"," Authorization Date"," Agency"," Subagency"," Independent Assessor"
QuestionMark,Questionmark OnDemand for Government,Agency,No,10/09/2019,Department of Homeland Security,,"Schellman & Company, LLC"
IBM,IBM Cloud for Government,JAB,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
New Relic,New Relic,Agency,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
Nintex,Nintex Drawloop DocGen,Agency,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
Oracle,Oracle Cloud Infrastructure-Government Cloud,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Homeland Security,Customs and Border Protection,
McAfee,MVISION Cloud,JAB,Yes,,Department of Homeland Security,Customs and Border Protection,
BlackBerry,BlackBerry Government Mobility Suite,Agency,No,01/14/2020,Department of Homeland Security,,Kratos
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Homeland Security,,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Homeland Security,Transportation Security Administration,
Elastic,Elastic Cloud,Agency,No,05/27/2020,Department of Homeland Security,,Kratos
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Homeland Security,Immigration and Customs Enforcement,
"Authentic8, Inc.",Silo,Agency,No,,Department of Homeland Security,,Kratos
McAfee,"MVISION for Endpoint (ePO, EDR)",Agency,No,,Department of Homeland Security,,Kratos
Akamai,Content Delivery Services,JAB,Yes,,Department of Housing and Urban Development,,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of Housing and Urban Development,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Housing and Urban Development,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Housing and Urban Development,,
Amazon,AWS US East/West,JAB,Yes,,Department of Housing and Urban Development,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Housing and Urban Development,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Housing and Urban Development,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Housing and Urban Development,,
Esri,Esri Managed Cloud Services Advanced Plus,Agency,No,09/23/2019,Department of Housing and Urban Development,,"Coalfire Systems, Inc."
Workiva,Wdesk,Agency,Yes,,Department of Housing and Urban Development,,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Housing and Urban Development,,
AINS,eCase,Agency,No,09/01/2020,Department of Housing and Urban Development,,"Coalfire Systems, Inc."
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Justice,Office of Justice Programs,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Justice,Justice Management Division,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Amazon,AWS GovCloud,JAB,Yes,,Department of Justice,Office of Justice Programs,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Justice,Federal Bureau of Investigation,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Justice,Justice Management Division,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Justice,,
Amazon,AWS US East/West,JAB,Yes,,Department of Justice,Federal Bureau of Prisons,
Amazon,AWS US East/West,JAB,Yes,,Department of Justice,Office of Justice Programs,
Apptio,The Apptio Technology Business Management (TBM),JAB,Yes,,Department of Justice,,
Socrata,Socrata Data Platform,Agency,Yes,,Department of Justice,Office of Justice Programs,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Justice,Office of Justice Programs,
Project Hosts,Federal Private Cloud,Agency,Yes,,Department of Justice,Office of Justice Programs,
Avue Technologies,Avue Digital Services,Agency,No,03/23/2018,Department of Justice,,"Coalfire Systems, Inc."
1901 Group,in3sight,Agency,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Justice,Federal Bureau of Prisons,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Justice,Justice Management Division,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Justice,Office of Justice Programs,
"Distributed Solutions, Inc.",AEON,Agency,No,09/28/2018,Department of Justice,,"Lunarline, Inc."
Pegasystems Inc,Pega Cloud for Government,Agency,No,12/20/2018,Department of Justice,,Kratos
Axon,Axon Evidence.com,JAB,Yes,,Department of Justice,Executive Office for United States Attorneys,
"Avaya, Inc.",Avaya Cloud Secure,Agency,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,Yes,,Department of Justice,Drug Enforcement Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Justice,United States Marshals Service,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Justice,,
IBM,SmartCloud for Government,JAB,Yes,,Department of Justice,,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Justice,Office of Justice Programs,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Justice,Office of Justice Programs,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Justice,Justice Management Division,
"Veritone, Inc.",aiWARE Government,Agency,No,05/04/2020,Department of Justice,,"Schellman & Company, LLC"
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Justice,Justice Management Division,
Oracle,Taleo Cloud - U.S. Government Cloud,Agency,No,06/26/2020,Department of Justice,,"Coalfire Systems, Inc."
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,No,06/01/2020,Department of Justice,,"Schellman & Company, LLC"
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Justice,Office of Justice Programs,
"Everlaw, Inc.",Everlaw Platform,Agency,No,01/15/2020,Department of Justice,,Kratos
AINS,eCase,Agency,Yes,,Department of Justice,Office of Justice Programs,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
CGI Federal,Momentum® Enterprise Suite,Agency,No,,Department of Justice,,Kratos
Microsoft,Microsoft Office 365 GCC High,Agency,No,,Department of Justice,,"Coalfire Systems, Inc."
"SailPoint Technologies Holdings, Inc.",IdentityIQ,Agency,No,,Department of Justice,,
"VMware, Inc.",VMware Cloud on AWS GovCloud (VMC),Agency,No,,Department of Justice,,"Coalfire Systems, Inc."
"ZibaSec, Inc.",PhishTACO,Agency,No,,Department of Justice,,"Coalfire Systems, Inc."
Akamai,Content Delivery Services,JAB,Yes,,Department of Labor,,
Appian,Appian Cloud,Agency,Yes,,Department of Labor,,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Labor,Bureau of Labor Statistics,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Labor,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Labor,Benefits Review Board,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Labor,,
MAXIMUS Inc.,MAXIMUS Cloud,JAB,Yes,,Department of Labor,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Labor,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Labor,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Labor,Occupational Safety and Health Administration,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Labor,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Labor,,
Amazon,AWS US East/West,JAB,Yes,,Department of Labor,,
Amazon,AWS US East/West,JAB,Yes,,Department of Labor,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Labor,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Labor,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Labor,,
United States Department of Agriculture,USDA Digital Infrastructure Services Center,Agency,Yes,,Department of Labor,Occupational Safety and Health Administration,
General Services Administration,Login.gov,Agency,Yes,,Department of Labor,,
Deloitte,Deloitte Federal Technology Center,Agency,No,12/13/2019,Department of Labor,,"MindPoint Group, LLC"
Akamai,Content Delivery Services,JAB,Yes,,Department of State,State Office of the Inspector General,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of State,State Office of the Inspector General,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of State,Bureau of Public Affairs,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of State,State Office of the Inspector General,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of State,State Office of the Inspector General,
Zscaler,Zscaler Internet Access – Government (Secure Web Gateway – vTIC),Agency,Yes,,Department of State,State Office of the Inspector General,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of State,State Office of the Inspector General,
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,No,04/30/2019,Department of State,,Kratos
PowerTrain Inc.,Web Development and Hosting,Agency,Yes,,Department of State,State Office of the Inspector General,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of State,State Office of the Inspector General,
Zscaler,Zscaler Private Access – Government (Zero Trust Networking – VPN Replacement),JAB,Yes,,Department of State,State Office of the Inspector General,
Smarsh,The Federal Archive,Agency,No,02/05/2020,Department of State,,"Schellman & Company, LLC"
AINS,eCase,Agency,Yes,,Department of State,State Office of the Inspector General,
"EnergyCAP, Inc.",EnergyCAP,Agency,No,,Department of State,,"Lazarus Alliance, Inc."
Informatica LLC,Informatica Intelligent Cloud Services (IICS),Agency,No,,Department of State,,"Schellman & Company, LLC"
Akamai,Content Delivery Services,JAB,Yes,,Department of the Interior,,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of the Interior,,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of the Interior,,
MicroPact,MicroPact Product Suite,Agency,No,07/28/2015,Department of the Interior,,"Coalfire Systems, Inc."
Virtustream,Federal Cloud (VFC),JAB,Yes,,Department of the Interior,,
Amazon,AWS GovCloud,JAB,Yes,,Department of the Interior,,
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,No,04/26/2017,Department of the Interior,,"Schellman & Company, LLC"
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of the Interior,,
Amazon,AWS US East/West,JAB,Yes,,Department of the Interior,,
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,No,03/09/2018,Department of the Interior,,"Coalfire Systems, Inc."
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of the Interior,,
Esri,ArcGIS Online (AGO),Agency,No,06/27/2018,Department of the Interior,,Mars Technology
Everbridge,Everbridge Suite,Agency,Yes,,Department of the Interior,Bureau of Safety and Environmental Enforcement,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,No,05/30/2018,Department of the Interior,,"Schellman & Company, LLC"
"VBrick Systems, Inc.",VBrick Rev,Agency,No,11/21/2018,Department of the Interior,,
"Innovest Systems, LLC",Trust & Wealth Management Solutions,Agency,No,01/24/2019,Department of the Interior,,"Schellman & Company, LLC"
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of the Interior,,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of the Interior,Bureau of Land Management,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of the Interior,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Interior,Office of the Special Trustee for American Indians,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Interior,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Interior,Bureau of Safety and Environmental Enforcement,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Interior,Fish and Wildlife Service,
IBM,IBM Cloud for Government,JAB,Yes,,Department of the Interior,,
IBM,SmartCloud for Government,JAB,Yes,,Department of the Interior,,
IBM,SmartCloud for Government,JAB,Yes,,Department of the Interior,Office of Natural Resources Revenue,
Relocation Management Worldwide (RMW),Virtual Employee Network (VEN™),Agency,No,12/16/2019,Department of the Interior,,"Lunarline, Inc."
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of the Interior,Bureau of Indian Affairs,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of the Interior,,
Decision Lens Inc.,Decision Lens Software,Agency,Yes,,Department of the Interior,National Park Service,
Google,Google G Suite,Agency,Yes,,Department of the Interior,,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,Department of the Navy,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Defense,Department of the Navy,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,Yes,,Department of Defense,Department of the Navy,
Akamai,Content Delivery Services,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of the Treasury,Bureau of Engraving and Printing,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of the Treasury,Bureau of Engraving and Printing,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of the Treasury,Bureau of the Fiscal Service,
Appian,Appian Cloud,Agency,Yes,,Department of the Treasury,Bureau of the Fiscal Service,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of the Treasury,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of the Treasury,United States Mint,
Virtustream,Federal Cloud (VFC),JAB,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Amazon,AWS GovCloud,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Amazon,AWS GovCloud,JAB,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Amazon,AWS GovCloud,JAB,Yes,,Department of the Treasury,Bureau of the Fiscal Service,
MobileIron,MobileIron Government Cloud,Agency,Yes,,Department of the Treasury,United States Mint,
18F,18F Cloud.gov,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of the Treasury,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of the Treasury,Bureau of Engraving and Printing,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of the Treasury,,
Amazon,AWS US East/West,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Amazon,AWS US East/West,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Amazon,AWS US East/West,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Adobe,Adobe Creative Cloud for Enterprise,Agency,Yes,,Department of the Treasury,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
"Innovative Discovery, LLC",Innovative Discovery Government Cloud (IDGC),Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Acquia Inc.,Acquia Cloud,Agency,No,06/29/2018,Department of the Treasury,,"Schellman & Company, LLC"
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Qualys,Qualys Cloud Platform,Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Qualys,Qualys Cloud Platform,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
United States Department of the Treasury,Workplace.gov Community Cloud High (WC2-H),Agency,No,09/26/2018,Department of the Treasury,,"Lunarline, Inc."
FM:Systems,Resource Scheduler Room and Real Estate Utilization,Agency,No,10/19/2018,Department of the Treasury,,Audit Liaison
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,No,04/26/2019,Department of the Treasury,,"Schellman & Company, LLC"
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
OneStream Software,OneStream XF Cloud,Agency,No,07/19/2019,Department of the Treasury,,"First Information Technology Services, Inc."
MuleSoft,MuleSoft Government Cloud,Agency,Yes,,Department of the Treasury,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Treasury,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of the Treasury,,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of the Treasury,Bureau of Engraving and Printing,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Netskope,Netskope OneCloud Government,Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Palantir Technologies Inc.,Palantir Federal Cloud Service,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Deloitte,Deloitte Federal Technology Center,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Oracle,Oracle Cloud Infrastructure-Government Cloud,Agency,No,02/10/2020,Department of the Treasury,,"Schellman & Company, LLC"
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of the Treasury,,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of the Treasury,,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
United States Department of the Treasury,Workplace.gov Community Cloud (WC2),Agency,No,04/28/2020,Department of the Treasury,,"Lunarline, Inc."
United States Department of the Treasury,Workplace.gov Community Cloud (WC2),Agency,Yes,,Department of the Treasury,Internal Revenue Service,
mLINQS,mLINQS Hosting Service,Agency,No,08/27/2020,Department of the Treasury,,"Coalfire Systems, Inc."
mLINQS,mLINQS Hosting Service,Agency,Yes,,Department of the Treasury,Bureau of the Fiscal Service,
AINS,eCase,Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
AINS,eCase,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
eGain Corporation,eGain Suite,Agency,No,,Department of the Treasury,,The Cadence Group
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Appian,Appian Cloud,Agency,No,04/23/2015,Department of Transportation,,"Coalfire Systems, Inc."
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Department of Transportation,Federal Railroad Administration,
Amazon,AWS GovCloud,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
"Druva, Inc.",Druva inSync,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Apptio,The Apptio Technology Business Management (TBM),JAB,Yes,,Department of Transportation,,
Socrata,Socrata Data Platform,Agency,Yes,,Department of Transportation,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Transportation,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
Valimail,Valimail Enforce Platform,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
"Proofpoint, Inc.",Proofpoint Email Archive,Agency,No,11/07/2018,Department of Transportation,,"Schellman & Company, LLC"
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Transportation,,
Smartsheet,Smartsheet Gov,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
DocuSign,DocuSign CLM (formerly SpringCM),Agency,Yes,,Department of Transportation,Federal Aviation Administration,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,No,03/03/2020,Department of Transportation,,Kratos
"Everlaw, Inc.",Everlaw Platform,Agency,Yes,,Department of Transportation,Office of the Secretary of Transportation,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
"Bitglass, Inc.",Bitglass CASB,Agency,No,,Department of Transportation,,"Coalfire Systems, Inc."
"GDC Integration, Inc.",General Support System (GSS),Agency,Yes,,Department of Transportation,Federal Aviation Administration,
Akamai,Content Delivery Services,JAB,Yes,,Department of Veterans Affairs,,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Veterans Affairs,,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Veterans Affairs,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Veterans Affairs,,
Amazon,AWS GovCloud,JAB,Yes,,Department of Veterans Affairs,,
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,Yes,,Department of Veterans Affairs,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Veterans Affairs,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Veterans Affairs,,
Amazon,AWS US East/West,JAB,Yes,,Department of Veterans Affairs,,
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,Yes,,Department of Veterans Affairs,VA Office of the Inspector General,
Apptio,The Apptio Technology Business Management (TBM),JAB,Yes,,Department of Veterans Affairs,,
Socrata,Socrata Data Platform,Agency,Yes,,Department of Veterans Affairs,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Veterans Affairs,,
Project Hosts,Federal Private Cloud,Agency,Yes,,Department of Veterans Affairs,,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Department of Veterans Affairs,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Veterans Affairs,,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Veterans Affairs,,
Qualys,Qualys Cloud Platform,Agency,Yes,,Department of Veterans Affairs,,
GitHub,GitHub Enterprise Cloud,Agency,Yes,,Department of Veterans Affairs,,
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Department of Veterans Affairs,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Veterans Affairs,,
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,Yes,,Department of Veterans Affairs,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Veterans Affairs,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Veterans Affairs,VA Office of the Inspector General,
MuleSoft,MuleSoft Government Cloud,Agency,Yes,,Department of Veterans Affairs,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Veterans Affairs,,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Veterans Affairs,,
Splunk,Splunk Cloud,Agency,Yes,,Department of Veterans Affairs,,
Adobe,Adobe Captivate Prime,Agency,No,09/26/2019,Department of Veterans Affairs,,"Coalfire Systems, Inc."
Palantir Technologies Inc.,Palantir Federal Cloud Service,Agency,Yes,,Department of Veterans Affairs,,
"Medallia, Inc.",Medallia GovCloud,JAB,Yes,,Department of Veterans Affairs,,
Northrop Grumman,Northrop Grumman Cloud Platform,Agency,Yes,,Department of Veterans Affairs,,
"QGenda, LLC",QGenda,Agency,No,03/19/2020,Department of Veterans Affairs,,The Cadence Group
Nintex,Nintex Drawloop DocGen,Agency,No,03/06/2020,Department of Veterans Affairs,,"Lunarline, Inc."
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Veterans Affairs,,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Veterans Affairs,,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Veterans Affairs,,
"Newyu, Inc.",LibreView for US Government,Agency,No,03/12/2020,Department of Veterans Affairs,,Kratos
Slack Technologies,Slack,Agency,No,03/26/2020,Department of Veterans Affairs,,"Schellman & Company, LLC"
DocuSign,DocuSign CLM (formerly SpringCM),Agency,Yes,,Department of Veterans Affairs,,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Veterans Affairs,,
"WellHive Holdings, LLC",WellHive,Agency,No,04/16/2020,Department of Veterans Affairs,,"Coalfire Systems, Inc."
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Veterans Affairs,,
AINS,eCase,Agency,Yes,,Department of Veterans Affairs,,
Amplifire,Amplifire,Agency,No,,Department of Veterans Affairs,,Department of Veterans Affairs
"Automattic, Inc.",WordPress VIP Go,Agency,No,,Department of Veterans Affairs,,"MindPoint Group, LLC"
Datadog,Datadog for Government,Agency,No,,Department of Veterans Affairs,,"Schellman & Company, LLC"
"Government Retirement & Benefits, Inc.",GRB Platform,Agency,No,,Department of Veterans Affairs,,"Coalfire Systems, Inc."
ID.me,ID.me Identity Gateway,Agency,No,,Department of Veterans Affairs,,The Cadence Group
"Issio Solutions, Inc.",Issio Information System,Agency,No,,Department of Veterans Affairs,,"MindPoint Group, LLC"
"MediaLab, Inc.",MediaLab Federal,Agency,No,,Department of Veterans Affairs,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
"Waggl, Inc.",Waggl,Agency,No,,Department of Veterans Affairs,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
"Wellspring Worldwide, Inc.",Sophia Knowledge Management System,Agency,No,,Department of Veterans Affairs,,"Lunarline, Inc."
AINS,eCase,Agency,Yes,,Department of Education,DoED Office of the Inspector General,
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,Yes,,Department of Justice,Drug Enforcement Administration,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Energy,Energy Information Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,Energy Information Administration,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Environmental Protection Agency,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Environmental Protection Agency,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Environmental Protection Agency,,
18F,18F Cloud.gov,JAB,Yes,,Environmental Protection Agency,,
18F,18F Cloud.gov,JAB,Yes,,Environmental Protection Agency,,
Skillsoft,Private Cloud,Agency,No,02/28/2017,Environmental Protection Agency,,Booz Allen Hamilton
Salesforce,Salesforce Government Cloud,Agency,Yes,,Environmental Protection Agency,,
