" Cloud Service Provider"," Cloud Service Offering"," Type"," Service Model"," Leveraged A T O"," Authorization Date"," Announcement Date"," Agency"," Subagency"," Independent Assessor"," Package Id"
Egnyte Inc.,Egnyte Platform,,SaaS,No,,,,,"NCC Group Security Services, Inc.",FR2024952734
Eightfold AI Inc.,Talent Intelligence Platform (TIP),,SaaS,No,,,,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2016962740
Elastic,Elastic Cloud,Agency,SaaS,No,05/27/2020,07/22/2020,Department of Homeland Security,,Kratos,FR2004446306
End To End Computing,Singularity,Agency,SaaS,No,,,United States Access Board,,Linford & Company,FR2034966708
Enel X North America,Exchange Platform,Agency,SaaS,No,08/28/2020,09/10/2020,General Services Administration,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2014363920
EnergyCAP LLC.,EnergyCAP,Agency,SaaS,No,11/16/2020,12/07/2020,Department of State,,"Lazarus Alliance, Inc.",FR1930046270
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,SaaS,No,04/30/2019,06/05/2019,Department of State,,Kratos,FR1707156421
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Justice,Drug Enforcement Administration,,FR1707156421
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,FR1707156421
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Homeland Security,,,FR1707156421
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,FR1707156421
Esri,ArcGIS Online (AGO),Agency,SaaS,No,06/27/2018,06/28/2018,Department of the Interior,,Mars Technology,FR1811073663
Esri,ArcGIS Online (AGO),Agency,SaaS,Yes,,,Department of Agriculture,,,FR1811073663
Esri,ArcGIS Online (AGO),Agency,SaaS,Yes,,,Department of Energy,Federal Energy Regulatory Commission,,FR1811073663
Esri,ArcGIS Online (AGO),Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,FR1811073663
Esri,ArcGIS Online (AGO),Agency,SaaS,Yes,,,Administrative Office of the United States Courts,,,FR1811073663
Esri,ArcGIS Online (AGO),Agency,SaaS,Yes,,,Department of Commerce,National Telecommunications and Information Administration,,FR1811073663
Esri,ArcGIS Online (AGO),Agency,SaaS,Yes,,,Department of Commerce,National Oceanic and Atmospheric Administration,,FR1811073663
Esri,Esri Managed Cloud Services Advanced Plus,Agency,"PaaS, SaaS",No,09/23/2019,08/20/2015,Department of Housing and Urban Development,,"Coalfire Systems, Inc.",F1311252651
Esri,Esri Managed Cloud Services Advanced Plus,Agency,"PaaS, SaaS",Yes,,,Department of Agriculture,,,F1311252651
Esri,Esri Managed Cloud Services Advanced Plus,Agency,"PaaS, SaaS",Yes,,,Administrative Office of the United States Courts,,,F1311252651
Esri,Esri Managed Cloud Services Advanced Plus,Agency,"PaaS, SaaS",Yes,,,Department of Commerce,National Telecommunications and Information Administration,,F1311252651
Esri,Esri Managed Cloud Services Advanced Plus,Agency,"PaaS, SaaS",Yes,,,Department of Commerce,United States Census Bureau,,F1311252651
eTRANSERVICES,"Universal Design Platform as a Service (UDPaaS), powered by ORockCloud",Agency,"PaaS, SaaS",No,02/25/2020,04/07/2020,Department of Health and Human Services,,"Schellman & Company, LLC",FR2002448150
Everbridge,Everbridge Suite,Agency,SaaS,No,06/07/2018,07/26/2018,Federal Housing Finance Agency,,"Coalfire Systems, Inc.",F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Department of Energy,Los Alamos National Laboratory,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Social Security Administration,,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Peace Corps,,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,General Services Administration,,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Consumer Financial Protection Bureau,,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Pension Benefit Guaranty Corporation,,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Department of the Interior,Bureau of Safety and Environmental Enforcement,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Court Services and Offender Supervision Agency,,,F1412165928
Everbridge,Everbridge Suite,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1412165928
"Everlaw, Inc.",Everlaw Platform,Agency,SaaS,No,01/15/2020,07/17/2020,Department of Justice,,Kratos,FR1916055736
"Everlaw, Inc.",Everlaw Platform,Agency,SaaS,Yes,,,Department of Transportation,Office of the Secretary of Transportation,,FR1916055736
Ex Libris,"Higher-Ed Platform (Alma, Primo, Leganto, Esploro)",Agency,SaaS,No,08/30/2019,09/10/2019,Department of Health and Human Services,,"Lunarline, Inc.",F1305132147
Ex Libris,"Higher-Ed Platform (Alma, Primo, Leganto, Esploro)",Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1305132147
Ex Libris,"Higher-Ed Platform (Alma, Primo, Leganto, Esploro)",Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1305132147
"Exterro, Inc.",Exterro E-Discovery and Legal Software Platform,Agency,SaaS,No,08/14/2020,04/20/2021,General Services Administration,,"Coalfire Systems, Inc.",FR1827963145
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,SaaS,No,04/26/2017,07/05/2017,Department of the Interior,,"Schellman & Company, LLC",F1512017637
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,SaaS,Yes,,,National Science Foundation,,,F1512017637
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,SaaS,Yes,,,United States Agency for International Development,,,F1512017637
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,SaaS,Yes,,,Federal Reserve System,,,F1512017637
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,SaaS,Yes,,,United States Securities and Exchange Commission,,,F1512017637
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1512017637
FM:Systems,Resource Scheduler Room and Real Estate Utilization,Agency,SaaS,No,10/19/2018,10/23/2018,Department of the Treasury,,Audit Liaison,FR1828574469
FM:Systems,Resource Scheduler Room and Real Estate Utilization,Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR1828574469
FormAssembly,FormAssembly Government Cloud (FAGC),,SaaS,No,,,,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2031156016
"Galvanize, Inc.",HighBond,Agency,SaaS,No,09/09/2020,11/20/2019,Department of Commerce,,Linford & Company,FR1834172478
"Galvanize, Inc.",HighBond,Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,FR1834172478
"GDC Integration, Inc.",General Support System (GSS),Agency,"PaaS, SaaS",No,,,Department of Agriculture,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR1834348080
"GDC Integration, Inc.",General Support System (GSS),Agency,"PaaS, SaaS",Yes,,,Department of Transportation,Federal Aviation Administration,,FR1834348080
"GDC Integration, Inc.",General Support System (GSS),Agency,"PaaS, SaaS",Yes,,,Small Business Administration,,,FR1834348080
GDT,GDT Government Cloud,JAB,IaaS,No,02/04/2015,02/04/2015,JAB Authorization,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",F1309252456
GDT,GDT Government Cloud,JAB,IaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1309252456
GDT,GDT Government Cloud,JAB,IaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1309252456
"General Dynamics Information Technology, Inc.",ARC-P Cloud,JAB,"IaaS, PaaS",No,06/21/2016,06/21/2016,JAB Authorization,,"Coalfire Systems, Inc.",F1206141381
"General Dynamics Information Technology, Inc.",ARC-P Cloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Defense Information Systems Agency,,F1206141381
"General Dynamics Information Technology, Inc.",ARC-P Cloud,JAB,"IaaS, PaaS",Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1206141381
"General Dynamics Information Technology, Inc.",ARC-P Cloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Department of the Navy,,F1206141381
"General Dynamics Information Technology, Inc.",ARC-P Cloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Defense Contract Management Agency,,F1206141381
"General Dynamics Information Technology, Inc.",ARC-P Cloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,United States Army,,F1206141381
"General Dynamics Information Technology, Inc.",ARC-P Cloud,JAB,"IaaS, PaaS",Yes,,,Department of Defense,Defense Information Systems Agency,,F1206141381
"General Dynamics Information Technology, Inc.",ARC-P Cloud,JAB,"IaaS, PaaS",Yes,,,Department of State,,,F1206141381
General Services Administration,Login.gov,Agency,SaaS,No,11/20/2019,07/15/2019,General Services Administration,,SecureIT,FR1829538820
General Services Administration,Login.gov,Agency,SaaS,Yes,,,Department of Agriculture,,,FR1829538820
General Services Administration,Login.gov,Agency,SaaS,Yes,,,Department of Labor,,,FR1829538820
General Services Administration,Login.gov,Agency,SaaS,Yes,,,Pension Benefit Guaranty Corporation,,,FR1829538820
General Services Administration,Login.gov,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,FR1829538820
Geotab,Geotab Telematics Platform Government (GTP Gov),Agency,SaaS,No,04/24/2020,07/21/2020,General Services Administration,,"Coalfire Systems, Inc.",FR1918150046
GitHub,GitHub Enterprise Cloud,Agency,SaaS,No,10/04/2018,10/04/2018,General Services Administration,,The Cadence Group,FR1812058188
GitHub,GitHub Enterprise Cloud,Agency,SaaS,Yes,,,National Science Foundation,,,FR1812058188
GitHub,GitHub Enterprise Cloud,Agency,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,FR1812058188
GitHub,GitHub Enterprise Cloud,Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,FR1812058188
GitHub,GitHub Enterprise Cloud,Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,FR1812058188
GitHub,GitHub Enterprise Cloud,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,FR1812058188
Google,Google Services (Google Cloud Platform Products and underlying Infrastructure),JAB,"IaaS, PaaS, SaaS",No,11/22/2019,12/04/2019,JAB Authorization,,"Coalfire Systems, Inc.",FR1805751477
Google,Google Services (Google Cloud Platform Products and underlying Infrastructure),JAB,"IaaS, PaaS, SaaS",Yes,,,General Services Administration,,,FR1805751477
Google,Google Services (Google Cloud Platform Products and underlying Infrastructure),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,National Oceanic and Atmospheric Administration,,FR1805751477
Google,Google Workspace,Agency,SaaS,No,08/24/2020,01/22/2016,General Services Administration,,"Coalfire Systems, Inc.",F1206081364
Google,Google Workspace,Agency,SaaS,Yes,,,National Archives and Records Administration,,,F1206081364
Google,Google Workspace,Agency,SaaS,Yes,,,Department of the Interior,,,F1206081364
Google,Google Workspace,Agency,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1206081364
Google,Google Workspace,Agency,SaaS,Yes,,,United States Agency for International Development,,,F1206081364
Google,Google Workspace,Agency,SaaS,Yes,,,Department of Commerce,National Oceanic and Atmospheric Administration,,F1206081364
Google,Google Workspace,Agency,SaaS,Yes,,,General Services Administration,,,F1206081364
Google,Google Workspace,Agency,SaaS,Yes,,,Department of Energy,Los Alamos National Laboratory,,F1206081364
Google,Google Workspace,Agency,SaaS,Yes,,,Library of Congress,,,F1206081364
Google,Google Workspace - JAB,JAB,SaaS,No,,,JAB Authorization,,"Coalfire Systems, Inc.",F1206081364A
Gordian,Gordian Federal Cloud powered by RSMeans Data,JAB,SaaS,No,,,JAB Authorization,,The Cadence Group,FR1815734543
"Government Retirement & Benefits, Inc.",GRB Platform,Agency,SaaS,No,,,Department of Veterans Affairs,,"Coalfire Systems, Inc.",FR2002757173
Granicus,GovDelivery Communications Cloud,JAB,SaaS,No,04/08/2016,04/08/2016,JAB Authorization,,"Coalfire Systems, Inc.",F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,General Services Administration,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Health and Human Services,Agency for Healthcare Research and Quality,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Agriculture,National Institute of Food and Agriculture,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Farm Credit Administration,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Federal Housing Finance Agency,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of State,Bureau of Public Affairs,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,United States Government Publishing Office,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,National Science Foundation,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of State,State Office of the Inspector General,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Federal Trade Commission,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Labor,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Agriculture,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Veterans Affairs,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Commerce,United States Patent and Trademark Office,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Education,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Council of the Inspectors General on Integrity and Efficiency,,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1311252652
Granicus,GovDelivery Communications Cloud,JAB,SaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1311252652
HackerOne,HackerOne Bug Bounty & Vulnerability Disclosure Platform,Agency,SaaS,No,04/24/2020,05/06/2020,General Services Administration,,"Coalfire Systems, Inc.",FR1919750997
HireVue,Recruitment Assessments and Video Interviewing,Agency,SaaS,No,03/12/2019,05/10/2019,Peace Corps,,The Cadence Group,FR1831429369
Hootsuite,Hootsuite Enterprise,Agency,SaaS,No,02/26/2021,03/11/2021,Department of the Interior,,Department of the Interior,FR1728349078
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,SaaS,No,08/07/2020,04/17/2015,United States Agency for International Development,,"Coalfire Systems, Inc.",F1408115175
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1408115175
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,F1408115175
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1408115175
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,F1408115175
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1408115175
"Human Resources Technologies, Inc. (HRTec)",Federal High Impact Virtualized Environment (FedHIVE),JAB,"IaaS, PaaS",No,12/02/2020,12/07/2020,JAB Authorization,,"Lunarline, Inc.",FR1802451335
IBM,IBM Cloud for Government,JAB,"IaaS, PaaS",No,11/14/2019,11/14/2019,JAB Authorization,,"Coalfire Systems, Inc.",F1211011660
IBM,IBM Cloud for Government,JAB,"IaaS, PaaS",Yes,,,Federal Communications Commission,,,F1211011660
IBM,IBM Cloud for Government,JAB,"IaaS, PaaS",Yes,,,Department of Homeland Security,United States Citizenship and Immigration Services,,F1211011660
IBM,IBM Cloud for Government,JAB,"IaaS, PaaS",Yes,,,Department of Agriculture,United States Forest Service,,F1211011660
IBM,IBM Cloud for Government,JAB,"IaaS, PaaS",Yes,,,Department of the Interior,,,F1211011660
IBM,IBM Cloud for Government,JAB,"IaaS, PaaS",Yes,,,Pretrial Services Agency,,,F1211011660
IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,Agency,SaaS,No,12/11/2018,03/12/2019,Department of Homeland Security,,"Coalfire Systems, Inc.",FR1728053006
IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,Agency,SaaS,Yes,,,Administrative Office of the United States Courts,,,FR1728053006
IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,Agency,SaaS,Yes,,,Department of Agriculture,,,FR1728053006
IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,Agency,SaaS,Yes,,,National Archives and Records Administration,,,FR1728053006
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,No,08/05/2015,07/17/2015,JAB Authorization,,"Coalfire Systems, Inc.",F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Department of Commerce,,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Department of the Interior,,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Department of Commerce,National Oceanic and Atmospheric Administration,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,General Services Administration,,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Federal Housing Finance Agency,FHFA Office of the Inspector General,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Department of Labor,,,F1208031461
IBM,MaaS360 Enterprise Mobility Management,JAB,SaaS,Yes,,,Department of Defense,United States Air Force,,F1208031461
IBM,SmartCloud for Government,JAB,IaaS,No,11/14/2019,11/14/2019,JAB Authorization,,"Coalfire Systems, Inc.",F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,General Services Administration,,,F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,Department of Justice,,,F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,Department of the Interior,,,F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,Department of Education,,,F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,Department of the Interior,Office of Natural Resources Revenue,,F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,Department of Education,,,F1206081363
IBM,SmartCloud for Government,JAB,IaaS,Yes,,,Office of Personnel Management,,,F1206081363
Icertis Inc.,Icertis Contract Management (ICM) for Government,,SaaS,No,,,,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2022963780
ID.me,ID.me Identity Gateway,Agency,SaaS,No,,,Department of Veterans Affairs,,The Cadence Group,FR1718334757
IdeaScale,IdeaScale Gov,Agency,SaaS,No,02/17/2021,10/19/2017,Department of Health and Human Services,,The Cadence Group,F1512017638
IdeaScale,IdeaScale Gov,Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1512017638
IdeaScale,IdeaScale Gov,Agency,SaaS,Yes,,,Department of Homeland Security,Transportation Security Administration,,F1512017638
Immersion Consulting LLC,Immersion Cloud,Agency,SaaS,No,,,Department of Veterans Affairs,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2106133460
Infoblox,BloxOne Threat Defense Federal Cloud,Agency,SaaS,No,,,Department of Commerce,,"Coalfire Systems, Inc.",FR2017257053
Infor,Infor Government Solutions (IGS) Software as a Service,JAB,SaaS,No,07/10/2018,07/10/2018,JAB Authorization,,"Coalfire Systems, Inc.",FR1710033970
Informatica LLC,Informatica Intelligent Cloud Services (IICS),Agency,SaaS,No,,,Department of State,,"Schellman & Company, LLC",FR2029331613
"Innovative Discovery, LLC",Innovative Discovery Government Cloud (IDGC),Agency,SaaS,No,06/01/2018,07/25/2018,Federal Trade Commission,,"Lunarline, Inc.",FR1800263217
"Innovative Discovery, LLC",Innovative Discovery Government Cloud (IDGC),Agency,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,FR1800263217
"Innovative Discovery, LLC",Innovative Discovery Government Cloud (IDGC),Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,FR1800263217
"Innovest Systems, LLC",Trust & Wealth Management Solutions,Agency,SaaS,No,01/24/2019,04/23/2019,Department of the Interior,,"Schellman & Company, LLC",FR1821933307
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,No,05/30/2018,08/22/2018,Department of the Interior,,"Schellman & Company, LLC",FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,U.S. International Development Finance Corporation,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,National Endowment for the Humanities,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,United States Commission on Civil Rights,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Consumer Product Safety Commission,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Department of Housing and Urban Development,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Federal Trade Commission,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Department of Agriculture,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Consumer Financial Protection Bureau,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Export-Import Bank of the United States,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Institute of Museum and Library Services,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Department of Energy,Federal Energy Regulatory Commission,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Department of Justice,Federal Bureau of Prisons,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,Pension Benefit Guaranty Corporation,,,FR1724526654
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,SaaS,Yes,,,National Labor Relations Board,,,FR1724526654
"Ipsos America, Inc.",Ipsos Research,Agency,SaaS,No,,,Department of Veterans Affairs,,"Coalfire Systems, Inc.",FR2104636677
Iron Mountain,Iron Mountain InSight,,SaaS,No,,,,,"Coalfire Systems, Inc.",FR2031155471
IronNet Cybersecurity Inc.,IronCloud,,SaaS,No,,,,,Kratos,FR2020681957
iSite LLC,iSite Contract Management Portal,Agency,SaaS,No,09/29/2017,04/27/2018,National Aeronautics and Space Administration,,"Perspecta, Inc.",F1506256801
"Issio Solutions, Inc.",Issio Information System,Agency,SaaS,No,,,Department of Veterans Affairs,,MBL Technologies,FR2027958176
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,No,04/03/2019,04/03/2019,JAB Authorization,,"Coalfire Systems, Inc.",F1303221956
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,Yes,,,Federal Mine Safety and Health Review Commission,,,F1303221956
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1303221956
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,Yes,,,Department of Health and Human Services,,,F1303221956
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,Yes,,,General Services Administration,,,F1303221956
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1303221956
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,Yes,,,Commission of Fine Arts,,,F1303221956
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,Yes,,,Department of Defense,Defense Health Agency,,F1303221956
IT-CNP,GovDataHosting Cloud Platform,JAB,IaaS,Yes,,,Department of Veterans Affairs,,,F1303221956
Ivalua,Ivalua GovCloud,,SaaS,No,,,,,Kratos,FR2026464280
Ivanti,Ivanti Service Manager,Agency,SaaS,No,02/05/2021,11/19/2019,Department of Commerce,,The Cadence Group,FR1816364586
Ivanti,MobileIron Government Cloud,Agency,SaaS,No,11/07/2016,12/08/2016,United States Postal Service,,"Coalfire Systems, Inc.",F1507116930
Ivanti,MobileIron Government Cloud,Agency,SaaS,Yes,,,Department of the Treasury,United States Mint,,F1507116930
"Kahua, Inc.",Kahua Federal Network (KFN),Agency,SaaS,No,,,General Services Administration,,"Schellman & Company, LLC",FR2032565438
Knight Point Systems,CloudSeed,Agency,IaaS,No,05/22/2018,05/23/2018,Department of Homeland Security,,"Coalfire Systems, Inc.",F1502276491
"KnowBe4, Inc.",KnowBe4 Security Awareness Training,Agency,SaaS,No,09/30/2019,10/25/2019,Department of Energy,,"Lunarline, Inc.",FR1912662229
